,사용월,호선명,지하철역,07시-08시 하차인원,08시-09시 하차인원,09시-10시 하차인원,17시-18시 승차인원,18시-19시 승차인원,19시-20시 승차인원,lat,lng
0,201812,01호선,동대문,12351,26881,29182,39400,34293,24070,37.57142,127.009745
1,201812,01호선,동묘앞,9730,25609,17526,39779,26478,12439,37.572627,127.016429
2,201812,01호선,서울,96780,212724,157731,169677,232724,137205,37.554648,126.972559
3,201812,01호선,시청,62827,182997,86988,83234,154545,77485,37.564718,126.977108
4,201812,01호선,신설동,25436,68570,39791,44388,68081,30156,37.575297,127.025087
5,201812,01호선,제기동,18141,45222,38870,56678,48982,25885,37.578103,127.034893
6,201812,01호선,종각,86427,252312,152987,135072,227792,127838,37.570161,126.982923
7,201812,01호선,종로3가,25734,78302,87772,104732,120417,90599,37.571607,126.991806
8,201812,01호선,종로5가,37426,118862,74859,92281,118701,68228,37.570926,127.001849
9,201812,01호선,청량리,20446,42121,42452,69749,55998,35985,37.580178,127.046835
10,201812,02호선,강남,140305,319962,344301,276732,379797,261119,37.497175,127.027926
11,201812,02호선,강변,35096,58320,61866,93366,99441,77954,37.535095,127.094681
12,201812,02호선,건대입구,25714,67315,52440,92875,105626,82938,37.540693,127.07023
13,201812,02호선,교대,46709,148744,144011,99962,150234,77909,37.493415,127.01408
14,201812,02호선,구로디지털단지,66561,248532,160238,133173,236422,132860,37.485266,126.901401
15,201812,02호선,구의,15095,41222,26840,42041,49396,27807,37.537077,127.085916
16,201812,02호선,낙성대,19983,44667,38009,55379,61622,36704,37.47693,126.963693
17,201812,02호선,당산,31039,84524,40594,49049,69688,38840,37.53438,126.902281
18,201812,02호선,대림,23152,63148,42213,56992,70052,39652,37.49297,126.895801
19,201812,02호선,도림천,4473,6035,2364,2636,3329,1787,37.514287,126.882768
20,201812,02호선,동대문역사문화공원,23464,62775,42160,59494,65072,46656,37.565138,127.007896
21,201812,02호선,뚝섬,26950,118231,58437,45357,95622,45817,37.547184,127.047367
22,201812,02호선,문래,29922,109335,58279,50433,93114,41279,37.517933,126.89476
23,201812,02호선,방배,25857,73821,59069,52420,75067,36987,37.481426,126.997596
24,201812,02호선,봉천,12919,27728,24123,43007,41425,25342,37.482362,126.941892
25,201812,02호선,사당,49036,73416,62343,86500,105339,81128,37.47653,126.981685
26,201812,02호선,삼성,113375,327453,265304,227830,334090,215149,37.508844,127.06316
27,201812,02호선,상왕십리,10739,36871,22176,28836,33066,20693,37.564354,127.029354
28,201812,02호선,서울대입구,31480,69984,72421,107437,114386,74295,37.481247,126.952739
29,201812,02호선,서초,46891,128397,106046,72514,112007,56918,37.491897,127.007917
30,201812,02호선,선릉,99781,295397,226348,172182,289824,151182,37.504503,127.049008
31,201812,02호선,성수,62791,246602,94138,79879,174987,82537,37.544581,127.055961
32,201812,02호선,시청,60753,220525,90139,82333,180526,73706,37.564718,126.977108
33,201812,02호선,신답,1136,2074,1109,2568,2515,1330,37.57004,127.046481
34,201812,02호선,신당,16235,39854,26986,37998,39762,25580,37.565972,127.01782
35,201812,02호선,신대방,18796,35703,24831,43916,50972,30073,37.487462,126.913149
36,201812,02호선,신도림,43809,128433,88689,136062,168087,106270,37.508725,126.891295
37,201812,02호선,신림,37610,66850,60969,116500,119308,83182,37.484201,126.929715
38,201812,02호선,신설동,6087,16194,13326,15758,19850,8010,37.575297,127.025087
39,201812,02호선,신정네거리,4487,12337,8762,16266,14658,8617,37.520074,126.852912
40,201812,02호선,신촌,36719,90408,117828,134193,131610,102830,37.555134,126.936893
41,201812,02호선,아현,12310,22898,14253,24752,23102,14050,37.557345,126.956141
42,201812,02호선,양천구청,5134,9867,6637,11871,10163,4665,37.512398,126.865819
43,201812,02호선,역삼,114115,332793,264068,166301,279565,140750,37.500622,127.036456
44,201812,02호선,영등포구청,32665,109510,53895,52372,98639,40291,37.52497,126.895951
45,201812,02호선,왕십리,12931,30754,24185,46837,50334,33893,37.561533,127.037732
46,201812,02호선,용답,1555,3472,3303,4563,4042,2653,37.561904,127.050899
47,201812,02호선,용두,2400,6411,3420,5817,6886,3358,37.574028,127.038091
48,201812,02호선,을지로3가,60136,159091,82934,71330,134132,66061,37.566295,126.99191
49,201812,02호선,을지로4가,22935,70378,43159,46566,65721,37006,37.566941,126.998079
50,201812,02호선,을지로입구,117258,318976,164040,151418,293523,164241,37.566014,126.982618
51,201812,02호선,이대,18553,43451,55308,67184,56438,39905,37.556733,126.946013
52,201812,02호선,잠실,84030,188288,195908,243304,294497,212179,37.51395,127.102234
53,201812,02호선,잠실나루,21198,39652,30348,39454,37626,20316,37.520733,127.10379
54,201812,02호선,잠실새내,17622,29399,35319,51609,53679,39513,37.511687,127.086162
55,201812,02호선,종합운동장,16616,30942,20327,28882,29581,16836,37.510997,127.073642
56,201812,02호선,충정로,17119,66174,33293,26996,53262,19598,37.559973,126.963672
57,201812,02호선,한양대,14135,55773,54218,42659,34814,19684,37.555273,127.043655
58,201812,02호선,합정,37070,96034,74275,84341,116009,79425,37.549463,126.913739
59,201812,02호선,홍대입구,37030,118508,133642,207293,235293,193714,37.557192,126.925381
60,201812,03호선,가락시장,9587,31239,16142,24021,32905,15630,37.492522,127.118234
61,201812,03호선,경복궁,41444,126335,84318,81275,112973,47870,37.575762,126.97353
62,201812,03호선,경찰병원,7607,29928,16113,16902,22244,9358,37.495918,127.12454
63,201812,03호선,고속터미널,54617,91384,117573,194237,186130,167263,37.50481,127.004943
64,201812,03호선,교대,14391,48835,35952,43520,65774,30482,37.493415,127.01408
65,201812,03호선,구파발,17035,25756,24210,40471,35211,22754,37.636763,126.918821
66,201812,03호선,금호,4488,8616,7587,14756,14095,8558,37.548034,127.015872
67,201812,03호선,남부터미널,56539,174457,93753,102324,159875,84197,37.485013,127.016189
68,201812,03호선,녹번,7573,17647,11918,25259,21748,10478,37.600927,126.935756
69,201812,03호선,대청,15473,26870,12411,25520,28970,13198,37.493514,127.079532
70,201812,03호선,대치,11129,24398,20842,29376,29193,22373,37.494612,127.063642
71,201812,03호선,도곡,11519,23020,19295,18813,21490,11994,37.490858,127.055381
72,201812,03호선,독립문,16283,20842,18727,18389,17023,8320,37.574571,126.957748
73,201812,03호선,동대입구,19070,60917,39603,46464,46789,28165,37.559052,127.005602
74,201812,03호선,매봉,19019,66706,34460,33036,58694,24622,37.486947,127.046769
75,201812,03호선,무악재,2986,5280,3781,6793,7019,3323,37.582299,126.950291
76,201812,03호선,불광,10838,32159,34090,38968,38709,23858,37.610469,126.929887
77,201812,03호선,수서,29712,53639,32853,44175,57359,27127,37.487371,127.10188
78,201812,03호선,신사,41406,112072,139094,100133,148069,111516,37.516334,127.020114
79,201812,03호선,안국,90081,108648,78128,108715,119857,52586,37.576477,126.985443
80,201812,03호선,압구정,46968,150423,165292,99045,143414,106911,37.527072,127.028461
81,201812,03호선,약수,14440,38020,25689,31280,38622,22910,37.55434,127.010655
82,201812,03호선,양재,94908,244464,137431,122147,204851,108377,37.484147,127.034631
83,201812,03호선,연신내,28251,40651,43026,72582,63312,44407,37.619001,126.921008
84,201812,03호선,오금,5619,14399,6820,12778,14960,6537,37.502162,127.128111
85,201812,03호선,옥수,7455,16866,12323,20246,19522,12442,37.540685,127.017965
86,201812,03호선,을지로3가,28461,80669,43327,33939,66066,32886,37.566295,126.99191
87,201812,03호선,일원,23584,24547,19811,29809,17687,10336,37.483681,127.08439
88,201812,03호선,잠원,8059,11072,8271,15351,13061,8112,37.512759,127.01122
89,201812,03호선,종로3가,12606,48201,50826,32189,53250,43051,37.571607,126.991806
90,201812,03호선,지축,1646,1721,1077,2902,1440,515,37.648048,126.913951
91,201812,03호선,충무로,0,0,0,4,4,10,37.561243,126.99428
92,201812,03호선,학여울,4595,11598,11804,10596,8113,3236,37.496663,127.070594
93,201812,03호선,홍제,12801,29342,23466,36908,33994,19431,37.589066,126.943736
94,201812,04호선,길음,15707,34325,30054,46461,42763,26442,37.603407,127.025053
95,201812,04호선,남태령,4031,6941,2334,4655,5173,2401,37.463873,126.989134
96,201812,04호선,노원,13730,31522,38620,43564,42028,31234,37.655128,127.061368
97,201812,04호선,당고개,8844,13668,13821,21216,18675,12551,37.670272,127.079066
98,201812,04호선,동대문,37308,83170,79170,106021,90212,49235,37.57142,127.009745
99,201812,04호선,동대문역사문화공원,27984,79988,46618,72067,99793,63521,37.565138,127.007896
100,201812,04호선,동작,2797,5786,5180,5644,6264,2994,37.502971,126.979306
101,201812,04호선,명동,55615,127362,102602,119123,160053,119711,37.560989,126.986325
102,201812,04호선,미아,16098,36721,24534,31354,32256,19641,37.62667,127.025983
103,201812,04호선,미아사거리,20642,36335,36268,59161,55526,41842,37.613292,127.030053
104,201812,04호선,사당,25100,39562,33168,53142,59932,44598,37.47653,126.981685
105,201812,04호선,삼각지,9742,28591,16162,13231,26091,11478,37.534777,126.97311
106,201812,04호선,상계,15977,21147,18525,31673,28231,18339,37.660878,127.073572
107,201812,04호선,서울,35109,97256,54914,39566,74638,30386,37.554648,126.972559
108,201812,04호선,성신여대입구,17403,47618,36934,59545,59832,40854,37.592624,127.016403
109,201812,04호선,수유,20336,57886,44057,69303,76404,47405,37.638052,127.025732
110,201812,04호선,숙대입구,23175,65960,40560,43662,61193,32659,37.54456,126.972106
111,201812,04호선,신용산,28392,96261,59191,51155,93197,49047,37.52917,126.967894
112,201812,04호선,쌍문,15219,31835,25159,50624,46162,29926,37.648627,127.034709
113,201812,04호선,이촌,14645,30012,36131,30935,30011,13833,37.522272,126.974345
114,201812,04호선,창동,20193,42637,37783,56570,56628,31452,37.653166,127.047731
115,201812,04호선,총신대입구,18541,47480,38325,43562,50359,32861,37.486263,126.981989
116,201812,04호선,충무로,52444,198507,121381,101889,161806,96415,37.561243,126.99428
117,201812,04호선,한성대입구,21316,36565,29671,39274,38982,23620,37.588458,127.006221
118,201812,04호선,혜화,47676,141077,132799,137441,149769,100977,37.582336,127.001844
119,201812,04호선,회현,52678,155495,112369,129980,128808,66145,37.558514,126.978246
120,201812,05호선,강동,22770,36453,25558,46056,45600,24766,37.535804,127.132481
121,201812,05호선,개롱,8655,15965,9532,14542,14923,7138,37.498079,127.13482
122,201812,05호선,개화산,6669,18541,7101,12467,17054,7686,37.572399,126.806171
123,201812,05호선,거여,7207,17444,10301,15380,14612,6969,37.493105,127.14415
124,201812,05호선,고덕,14632,17259,15201,22533,17223,9011,37.555004,127.154151
125,201812,05호선,공덕,26264,84065,41105,37110,70383,28436,37.544018,126.951592
126,201812,05호선,광나루,14559,34666,21337,29249,35477,17812,37.545303,127.10357
127,201812,05호선,광화문,84442,292897,126485,128647,240637,108153,37.571026,126.976669
128,201812,05호선,군자,7967,21811,17640,21897,24907,16019,37.557121,127.079542
129,201812,05호선,굽은다리,5548,14418,10482,17655,17223,9873,37.545477,127.142853
130,201812,05호선,길동,5208,15259,11392,15228,16285,8730,37.537801,127.140004
131,201812,05호선,김포공항,13511,16634,11781,23776,30839,21678,37.562434,126.801058
132,201812,05호선,까치산,12510,23347,21305,42348,39485,25202,37.531768,126.846683
133,201812,05호선,답십리,13082,36347,19276,32714,37504,21860,37.566747,127.052704
134,201812,05호선,동대문역사문화공원,8819,33410,10853,9680,21205,9352,37.565138,127.007896
135,201812,05호선,둔촌동,10204,22279,15678,20210,22034,13079,37.527788,127.136248
136,201812,05호선,마곡,8447,22310,8549,19970,17439,8054,37.560183,126.825448
137,201812,05호선,마장,7759,17606,11118,13987,14541,8845,37.5661,127.042973
138,201812,05호선,마천,3673,8705,6634,9300,7741,3755,37.49499,127.152781
139,201812,05호선,마포,19766,72988,35380,34598,62198,26111,37.539574,126.945932
140,201812,05호선,명일,6438,11249,8891,16682,13827,7622,37.55137,127.143999
141,201812,05호선,목동,11447,29696,23932,33495,35163,20478,37.526065,126.864931
142,201812,05호선,발산,25127,79001,45490,53908,66665,36048,37.558598,126.837668
143,201812,05호선,방이,8640,24659,13522,15856,21305,11798,37.508857,127.126133
144,201812,05호선,방화,5631,16650,7538,12694,12603,6236,37.577446,126.812741
145,201812,05호선,상일동,13090,15018,7073,35865,20140,7806,37.556712,127.166417
